order	lemma	pos	verdict	fix	why	gloss
272	kaput	NOUN	ok			пиджак; пальто
273	zahvalnost	NOUN	ok			благодарность
274	pobednik	NOUN	ok			победитель
275	ispit	NOUN	ok			экзамен
276	bezbednost	NOUN	ok			безопасность
277	blok	NOUN	ok			квартал
278	okretati	VERB	ok			поворачивать, вращать; обращать (внимание, взгляд)
279	biljka	NOUN	ok			растение
280	kupovina	NOUN	ok			покупка
281	žut	ADJ	ok			жёлтый
282	prostorija	NOUN	ok			помещение, комната
283	baba	NOUN	ok			бабушка; пожилая женщина
284	graditi	VERB	ok			строить
285	lisica	NOUN	gloss	лиса		?
286	pošten	ADJ	ok			разг. порядочный, честный; достойный уважения
287	obezbediti	VERB	ok			обеспечить; обезопасить
288	šetnja	NOUN	ok			прогулка
289	prethodan	ADJ	ok			предыдущий; предварительный
290	jučer	ADV	ok			вчера
291	stručnjak	NOUN	ok			специалист
292	uvreda	NOUN	ok			оскорбление, обида; юр. оскорбление (как правонарушение)
293	slovo	NOUN	ok			буква
294	količina	NOUN	ok			количество
295	uticaj	NOUN	ok			влияние
296	prašina	NOUN	ok			пыль
297	predavanje	NOUN	ok			лекция
298	navesti	VERB	ok			привести; перечислить
299	moderan	ADJ	ok			модный
300	cesta	NOUN	ok			дорога; улица
301	peći	VERB	ok			жарить
302	siromašan	ADJ	ok			бедный, неимущий
303	ponos	NOUN	ok			гордость
304	gaće	NOUN	gloss	трусы		?
305	tuga	NOUN	ok			горе, печаль
306	talac	NOUN	ok			заложник
307	identitet	NOUN	ok			идентичность
308	isplatiti	VERB	ok			заплатить
309	mržnja	NOUN	ok			ненависть
310	peti	ADJ	ok			пятый
311	alarm	NOUN	ok			тревога
312	okolina	NOUN	ok			окрестность, округа, окружающая местность; окружение, среда
313	razmišljanje	NOUN	ok			критическое мышление
314	časopis	NOUN	ok			газета; журнал; периодическое издание
315	prijatan	ADJ	ok			приятный
316	sudar	NOUN	gloss	столкновение		?
317	olovka	NOUN	trap	карандаш	ошибка: olovka — ручка (от olovo — свинец), не карандаш	карандаш
318	nula	NOUN	ok			ноль
319	ogledalo	NOUN	ok			зеркало
320	brojati	VERB	ok			считать, насчитывать
321	pećina	NOUN	ok			спелеол. пещера
322	mraz	NOUN	ok			мороз, холодная погода
323	tržište	NOUN	ok			рынок
324	suprotan	ADJ	ok			противоположный; противолежащий
325	upotreba	NOUN	ok			применение, использование
326	istočni	ADJ	ok			восточный
327	prezime	NOUN	gloss	фамилия	толкование отсутствует, prezime значит фамилия/отчество	?
328	zastava	NOUN	ok			флаг
329	krvav	ADJ	ok			кровавый
330	tlo	NOUN	ok			земля, почва
331	bioskop	NOUN	ok			кинотеатр
332	brisati	VERB	gloss	стирать, вытирать	brisati имеет более широкое значение, чем только вычёркивать	вычёркивать
333	ogrlica	NOUN	ok			бусы; ожерелье
334	zec	NOUN	ok			заяц
335	šaka	NOUN	ok			кисть руки; горсть, пригоршня
336	patnja	NOUN	ok			страдание, мучение
337	čarapa	NOUN	ok			чулок
338	sedmica	NOUN	gloss	неделя	sedmica прежде всего неделя, семёрка — вторичное значение	неделя; семёрка
339	žurba	NOUN	ok			спешка
340	popis	NOUN	ok			перечень, список
341	obavljati	VERB	ok			выполнять, осуществлять; производить, делать
342	studirati	VERB	ok			учиться, обучаться (в учебном заведении); учить, изучать
343	ožiljak	NOUN	ok			шрам, рубец
344	dadilja	NOUN	ok			няня
345	nokat	NOUN	ok			анат. ноготь
346	jastuk	NOUN	ok			подушка
347	suština	NOUN	ok			сущность, суть
348	frizura	NOUN	ok			причёска, стрижка
349	baterija	NOUN	gloss	батарея; фонарик	в черногорском чаще фонарик/фонарь, батарея — заимствование	батарея; фонарик, фонарь
350	garantovati	VERB	ok			гарантировать
351	groblje	NOUN	ok			кладбище
352	rasprava	NOUN	ok			обсуждение, дискуссия, прения
353	lobanja	NOUN	ok			череп
354	alat	NOUN	ok			инструменты
355	razočarati	VERB	ok			разочаровать
356	tetovaža	NOUN	ok			татуировка
357	naočare	NOUN	ok			очки
358	pamćenje	NOUN	ok			память (способность сохранять информацию)
359	najzad	ADV	drop_grammar	наконец	наречие времени, служебное слово	наконец, в конце концов, напоследок
360	crevo	NOUN	ok			анат. кишка
361	čovečanstvo	NOUN	ok			человечество
362	pritvor	NOUN	ok			предварительное заключение, арест
363	vitez	NOUN	ok			рыцарь, всадник
364	pravni	ADJ	ok			юридический
365	kat	NOUN	ok			этаж
366	ludost	NOUN	ok			безумие, сумасшествие
367	balon	NOUN	ok			воздушный шар; аэростат
368	kocka	NOUN	ok			геометр. куб
369	silovanje	NOUN	ok			изнасилование
370	kočija	NOUN	ok			коляска, повозка, дилижанс, фаэтон
371	dupli	ADJ	gloss	двойной, удвоенный	dupli — удвоенный, двойной	двойной
372	udovica	NOUN	ok			вдова
373	pozorište	NOUN	ok			театр
374	godišnjica	NOUN	ok			годовщина
375	kuvar	NOUN	ok			повар
376	nestajati	VERB	ok			исчезать, пропадать
377	otvaranje	NOUN	ok			открытие; раскрытие
378	pojava	NOUN	ok			феномен, явление
379	klavir	NOUN	ok			муз. фортепиано (фортепьяно)
380	proleće	NOUN	ok			весна
381	blagoslov	NOUN	ok			благословение
382	tepih	NOUN	ok			ковёр
383	šator	NOUN	ok			палатка
384	živac	NOUN	ok			нерв
385	imovina	NOUN	ok			имущество; собственность
386	postojanje	NOUN	ok			существование, бытие
387	prijateljski	ADV	drop_grammar	по-дружески	наречие образа действия, служебное слово	дружественный
388	glavobolja	NOUN	ok			головная боль
389	skupljati	VERB	ok			копить, собирать
390	kretanje	NOUN	ok			движение
391	vatrogasac	NOUN	ok			пожарный, пожарник
392	kiseonik	NOUN	ok			хим. кислород
393	beskoristan	ADJ	ok			бесполезный; напрасный, тщетный
394	tabla	NOUN	ok			доска; плитка
395	toranj	NOUN	ok			башня
396	težiti	VERB	gloss	весить, иметь вес	težiti — весить, а не только весить в смысле иметь значение	весить
397	besmislen	ADJ	ok			бессмысленный
398	krompir	NOUN	ok			картофель
399	tvrdoglav	ADJ	ok			упрямый
400	zglob	NOUN	ok			анат. сустав
401	englez	NOUN	ok			англичанин
402	jeftino	ADV	ok			дёшево
403	uzak	ADJ	trap	далёкий	uzak значит «далёкий», а не «узкий» (узкий — «узан»)	узкий
404	naređivati	VERB	ok			приказывать; распоряжаться
405	italijanski	ADJ	ok			итальянский
406	patka	NOUN	ok			зоол. утка
407	srebrn	ADJ	ok			серебряный
408	stanovnik	NOUN	ok			житель
409	razumevanje	NOUN	ok			понимание, осмысление, разумение
410	trenutan	ADJ	gloss	мгновенный	trenutan — мгновенный, а не текущий	текущий
411	rečenica	NOUN	ok			предложение (грамматическое); фраза, выражение, высказывание
412	finansijski	ADJ	ok			финансовый
413	izlet	NOUN	ok			поход, экскурсия, прогулка
414	gradac	NOUN	gloss	ступень	gradac — ступень, градус (от grada)	?
415	posed	NOUN	ok			собственность (земельная), имение; недвижимость
416	magla	NOUN	ok			метеорол. туман
417	podmornica	NOUN	ok			морск. подводная лодка, подлодка
418	siv	ADJ	ok			серый, сивый; бесцветный, бледный
419	čarobnjak	NOUN	ok			маг, волшебник, чародей
420	jutarnji	ADJ	ok			утренний
421	poverljiv	ADJ	gloss	доверчивый	poverljiv имеет два значения, но основное — доверчивый; «секретный» — вторичное	доверчивый; секретный
422	ukusan	ADJ	ok			вкусный, лакомый
423	val	NOUN	ok			волна
424	bubreg	NOUN	ok			анат. почка
425	obraz	NOUN	ok			анат. щека
426	zagrljaj	NOUN	ok			объятие
427	pobunjenik	NOUN	ok			бунтарь, бунтовщик
428	autoput	NOUN	ok			автострада, скоростная дорога
429	hlače	NOUN	ok			штаны
430	poraz	NOUN	ok			поражение
431	održavanje	NOUN	ok			поддержание
432	konopac	NOUN	ok			верёвка
433	nafta	NOUN	ok			нефть
434	saradnja	NOUN	ok			сотрудничество
435	septembar	NOUN	ok			сентябрь
436	nameštaj	NOUN	ok			мебель
437	kula	NOUN	ok			башня; шахм. ладья
438	popravljati	VERB	ok			улучшать
439	dragulj	NOUN	ok			драгоценный камень
440	peškir	NOUN	ok			полотенце
441	crta	NOUN	gloss	линия	crta — линия, черта (существительное), а не глагол «чертить»	чертить
442	temelj	NOUN	ok			фундамент
443	muzički	ADJ	ok			музыкальный
444	prag	NOUN	ok			порог
445	belo	ADV	drop_grammar	белый	belo — это прилагательное в среднем роде, служебным не является; но толкование про наркотики неверно и сбивает с толку	белый; жарг. нарк., субстантивир. героин; кокаин (наркотик в виде белого порошка)
446	kopno	NOUN	ok			суша
447	rukovati	VERB	ok			(~ се) здороваться за руку, пожимать руку (кому-л.); (~ се с) здороваться за руку (с кем-л.)
448	kobasica	NOUN	ok			колбаса
449	godišnji	ADJ	ok			ежегодный
450	pile	NOUN	ok			птенец
451	japanac	NOUN	ok			японец
452	trg	NOUN	ok			площадь (городская); рынок
453	narukvica	NOUN	ok			браслет
454	čekić	NOUN	ok			молот, молоток
455	orao	NOUN	ok			зоол. орёл (Aquila)
456	trudnoća	NOUN	ok			физиол. беременность
457	ambasador	NOUN	ok			посол
458	dobrotvoran	ADJ	ok			благотворительный
459	kanta	NOUN	ok			ведро
460	koncentrisati	VERB	ok			сосредотачивать, сосредоточивать, концентрировать
461	analizirati	VERB	ok			анализировать
462	klasičan	ADJ	ok			классический
463	mrtvačnica	NOUN	ok			морг, мертвецкая, покойницкая
464	volan	NOUN	ok			руль, рулевое колесо
465	preporuka	NOUN	ok			рекомендация
466	uzalud	ADV	ok			напрасно, зря
467	torbica	NOUN	gloss	сумочка	torbica — маленькая сумка, сумочка	?
468	močvara	NOUN	ok			болото
469	kornjača	NOUN	ok			черепаха
470	ravan	ADJ	ok			плоский, ровный
471	beo	ADJ	ok			белый
472	vojvoda	NOUN	ok			князь
473	ploviti	VERB	ok			плавать
474	batina	NOUN	gloss	палка	batina — палка, дубинка (от bata)	?
475	gluv	ADJ	ok			глухой
476	letelica	NOUN	ok			летательный аппарат, воздушное судно, самолёт
477	udaljenost	NOUN	ok			расстояние
478	ambasada	NOUN	ok			посольство
479	otrovan	ADJ	ok			ядовитый
480	predstavnik	NOUN	ok			представитель
481	šarmantan	ADJ	ok			очаровательный
482	magarac	NOUN	ok			зоол. осёл, ишак (Equus asinus asinus)
483	automatski	ADV	ok			автоматический
484	biološki	ADV	ok			биологический
485	sklad	NOUN	ok			соответствие
486	poremećaj	NOUN	ok			расстройство
487	računar	NOUN	ok			компьютер
488	tečnost	NOUN	ok			жидкость
489	divljina	NOUN	ok			дикая местность
490	naziv	NOUN	ok			название
491	vanzemaljski	ADJ	ok			внеземной, инопланетный
492	odsustvo	NOUN	ok			отсутствие
493	naslediti	VERB	ok			наследовать
494	parfem	NOUN	ok			духи
495	otvor	NOUN	ok			отверстие
496	tvrđava	NOUN	ok			крепость
497	delić	NOUN	gloss	частица, кусочек	толкование отсутствует	?
498	daljina	NOUN	ok			расстояние
499	višak	NOUN	gloss	избыток	профицит — узкоспециальный термин	экон. профицит
500	leptir	NOUN	ok			зоол. бабочка, мотылёк
501	mrav	NOUN	ok			муравей
502	sapun	NOUN	ok			мыло
503	drven	ADJ	ok			деревянный
504	kiselina	NOUN	ok			хим. кислота
505	frekvencija	NOUN	ok			частота
506	mačak	NOUN	ok			кот
507	okvir	NOUN	ok			рамка; рамки
508	radionica	NOUN	ok			мастерская
509	izgradnja	NOUN	ok			строительство
510	pesnik	NOUN	ok			поэт
511	košarka	NOUN	ok			спорт. баскетбол
512	maramica	NOUN	ok			носовой платок
513	domaćica	NOUN	ok			домохозяйка
514	rublje	NOUN	ok			белье
515	insekt	NOUN	ok			зоол. насекомое
516	domovina	NOUN	ok			родной край, родина, отечество, отчизна
517	šunka	NOUN	ok			ветчина, окорок
518	sprečavati	VERB	ok			препятствовать
519	karati	VERB	ok			бранить, ругать
520	čuven	ADJ	ok			знаменитый; известный
521	čvor	NOUN	ok			узел
522	spomenik	NOUN	ok			памятник
523	ujesti	VERB	ok			кусать
524	putanja	NOUN	ok			тропинка, дорожка
525	decembar	NOUN	ok			декабрь
526	završetak	NOUN	ok			завершение
527	veverica	NOUN	ok			зоол. белка (лат. Sciurus)
528	posećivati	VERB	ok			посещать, навещать
529	bolničar	NOUN	ok			мед. санитар
530	novčanica	NOUN	ok			банкнота
531	novembar	NOUN	ok			ноябрь
532	cigla	NOUN	ok			кирпич
533	krtica	NOUN	ok			крот
534	nadzornik	NOUN	ok			надзиратель
535	pukotina	NOUN	ok			трещина
536	štedeti	VERB	ok			копить, собирать
537	bubanj	NOUN	gloss	барабан	толкование отсутствует	?
538	osmi	ADJ	ok			восьмой
539	igralište	NOUN	ok			детская площадка, игровая площадка
540	čelik	NOUN	ok			сталь
541	poređenje	NOUN	ok			сравнение
542	musliman	NOUN	ok			мусульманин, магометанин
543	bradavica	NOUN	ok			бородавка
544	nestrpljiv	ADJ	ok			нетерпеливый
545	doručkovati	VERB	ok			завтракать
546	stanar	NOUN	ok			житель, жилец
547	krasan	ADJ	ok			красивый
548	alergičan	ADJ	ok			мед. аллергический
549	agresivan	ADJ	ok			агрессивный
550	ambulanta	NOUN	ok			амбулатория
551	pesnica	NOUN	ok			кулак
552	znoj	NOUN	ok			пот
553	dobrobit	NOUN	ok			благосостояние, благополучие, благоденствие
554	potres	NOUN	ok			землетрясение
555	bunar	NOUN	ok			колодец
556	glasanje	NOUN	ok			голосование
557	prekidač	NOUN	ok			выключатель
558	gušter	NOUN	ok			зоол. ящерица
559	većinom	ADV	ok			большей частью, в большинстве случаев
560	saučešće	NOUN	ok			соболезнование
561	lezbejka	NOUN	ok			лесбиянка
562	krpa	NOUN	ok			тряпка; лоскут
563	dinosaurus	NOUN	ok			зоол. динозавр
564	naselje	NOUN	ok			населённый пункт, поселение
565	sirotište	NOUN	ok			приют, детский дом
566	centimetar	NOUN	ok			сантиметр
567	barut	NOUN	ok			порох
568	fioka	NOUN	ok			выдвижной ящик
569	ispunjavati	VERB	ok			исполнять, выполнять
570	kandža	NOUN	ok			анат. коготь
571	divljak	NOUN	gloss	дикарь, дикий человек	толкование отсутствует	?
572	rađati	VERB	ok			рожать, рождать
573	mladoženja	NOUN	ok			жених
574	angažovati	VERB	ok			ангажировать
575	ulog	NOUN	ok			вклад (денежные средства, которые организации или отдельные лица хранят в финансовом учреждении); депозит
576	zemljotres	NOUN	ok			землетрясение
577	sažaljenje	NOUN	ok			сочувствие, жалость
578	paradajz	NOUN	ok			помидор
579	tajanstven	ADJ	ok			таинственный, загадочный
580	biskup	NOUN	gloss	епископ	толкование отсутствует	?
581	biser	NOUN	ok			жемчуг
582	istorijski	ADJ	ok			исторический
583	kamila	NOUN	ok			зоол. верблюд
584	tavan	NOUN	ok			чердак
585	šank	NOUN	ok			стойка (прилавок)
586	sajam	NOUN	ok			ярмарка
587	kašika	NOUN	ok			ложка
588	slikar	NOUN	ok			живописец
589	četkica	NOUN	ok			щётка
590	izjaviti	VERB	ok			заявить
