order	lemma	pos	freq	forms	sentences	gloss	doubt
134	zahvaljivati	ADV	18033	102	0	благодарить	drop_grammar: помечено как ADV, на самом деле глагол
135	mačka	NOUN	18023	20	46	кошка	
136	engleski	ADJ	17871	184	48	английский	
137	doba	NOUN	17764	30	3	пора, время; эпоха, эра	
138	poštovanje	NOUN	17702	15	0	уважение, почтение; почёт	
139	vlasnik	NOUN	17642	15	4	владелец	
140	lopta	NOUN	17259	16	3	мяч	
141	vila	NOUN	17054	15	0	вилла	
142	vojni	ADJ	16971	63	0	военный	
143	pamet	NOUN	16884	15	0	ум, разум	
144	svemir	NOUN	16740	15	1	космос	
145	izvor	NOUN	16501	15	4	источник, родник, ключ	
146	veštica	NOUN	16223	30	0	ведьма, колдунья	
147	obala	NOUN	16049	15	0	берег	
148	nada	NOUN	15903	29	6	надежда	
149	ćutati	VERB	15870	29	1	молчать	
150	kontrolisati	VERB	15505	102	0	контролировать	
151	lista	NOUN	15500	15	1	перечень, список	
152	ponašanje	NOUN	15476	15	0	поведение	
153	upasti	VERB	15351	29	1	напасть	
154	spremati	VERB	15212	102	11	приготовить	
155	puška	NOUN	15010	20	0	воен. винтовка	
156	doručak	NOUN	14963	15	4	завтрак	
157	vikati	VERB	14852	102	4	кричать	
158	stolica	NOUN	14798	14	7	стул	
159	svetski	ADJ	14612	366	3	мировой, всемирный	
160	sumnja	NOUN	14536	16	1	сомнение	
161	radnik	NOUN	14390	15	2	работник, рабочий, трудящийся	
162	poverenje	NOUN	14312	30	1	доверие	
163	zahvalan	ADJ	14086	191	3	благодарный	
164	sprat	NOUN	14024	16	2	этаж	
165	vredan	ADJ	14007	382	0	ценный; прилежный	
166	zajednički	ADJ	13948	184	4	взаимный	
167	sići	VERB	13915	23	0	сойти, съехать; спуститься, слезть	
168	slatko	ADV	13866	3	3	сладкое	
169	prići	VERB	13850	23	0	подойти, приблизиться; присоединиться, примкнуть	
170	odabrati	VERB	13798	102	1	выбрать, отобрать	
171	namera	NOUN	13796	30	1	намерение	
172	ugao	NOUN	13750	20	0	угол	
173	podrška	NOUN	13629	20	0	поддержка	
174	odgovornost	NOUN	13626	15	1	ответственность	
175	pozdrav	NOUN	13566	15	0	привет	
176	seksi	ADJ	13565	132	0	сексуальный	
177	dar	NOUN	13325	24	1	подарок; дарование	
178	teren	NOUN	13264	15	0	почва, земля, грунт; местность, участок, территория	
179	novinar	NOUN	13164	15	1	журналист	
180	nalog	NOUN	13137	14	0	инструкция, руководство, приказ	
181	majmun	NOUN	12995	15	0	обезьяна	
182	pružiti	VERB	12986	102	0	растягиваться; протягивать	
183	vuk	NOUN	12913	21	5	зоол. волк (Canis lupus)	
184	ljubomoran	ADJ	12628	191	1	ревнивый	
185	zamka	NOUN	12614	20	1	петля	
186	zatvorenik	NOUN	12597	15	0	узник	
187	budan	ADJ	12421	191	0	бодрствующий	
188	umetnost	NOUN	12202	30	9	искусство	
189	ponovno	ADV	12103	3	0	повторно	
190	lovac	NOUN	12073	14	0	охотник; шахм. слон	
191	stranac	NOUN	12040	14	2	иностранец	
192	mirisati	VERB	11918	102	1	нюхать	
193	žuriti	VERB	11814	29	15	спешить; торопить	
194	sveštenik	NOUN	11799	15	1	священник	
195	javan	ADJ	11763	191	1	общественный; явный	
196	rame	NOUN	11697	15	0	анат. плечо	
197	posedovati	VERB	11680	204	0	обладать, владеть, иметь в собственности	
198	osveta	NOUN	11626	15	0	месть	
199	usamljen	ADJ	11622	191	1	одинокий; уединённый; отделённый от других; пустынный; безлюдный	
200	poslovan	ADJ	11588	191	0	деловой	
201	šešir	NOUN	11521	15	15	шляпа	
202	zabraniti	ADJ	11454	102	2	запретить	drop_grammar: часть речи неверна, zabraniti — глагол, не прилагательное
203	stena	NOUN	11444	30	0	скала, утёс	
204	traka	NOUN	11405	15	0	бант	
205	smeće	NOUN	11292	15	0	мусор, сор	
206	peta	NOUN	11267	15	3	:Шаблон:Приставка в системе СИ, означающая 10 в 15 степени; Квадриллион	drop_rare: это приставка СИ, не нужна начинающему
207	boca	NOUN	11230	18	0	бутыль, бутылка	
208	ortak	NOUN	11188	15	0	компаньон; пайщик, партнёр	
209	poljubac	NOUN	11179	15	1	поцелуй	
210	bes	NOUN	11135	28	0	бешенство, гнев, ярость	
211	taman	ADJ	11117	191	4	темный	
212	leš	NOUN	11097	16	0	труп; падаль	
213	hitno	ADV	11095	3	0	быстро, проворно; срочно, неотложно	
214	južan	ADJ	10883	191	3	южный	
215	ljubazan	ADJ	10825	191	4	любезный, обходительный; приветливый	
216	hodnik	NOUN	10823	15	1	коридор	
217	zmija	NOUN	10781	15	7	змея	
218	zdravlje	NOUN	10687	15	4	здоровье	
219	snažan	ADJ	10563	191	3	сильный	
220	odbor	NOUN	10541	16	0	комитет	
221	kukavica	NOUN	10468	15	0	зоол. кукушка; перен., разг. трус; трусиха	
222	kriminalac	NOUN	10467	14	0	преступник, уголовник	
223	lepota	NOUN	10427	30	2	красота	
224	eksplozija	NOUN	10402	15	2	взрыв	
225	skup	NOUN	10250	207	8	дорогой	
226	posledica	NOUN	10198	30	0	последствие	
227	gradski	ADJ	10144	184	1	городской	
228	grob	NOUN	10033	16	0	могила	
229	povreda	NOUN	10012	15	0	травма, повреждение, ранение; нарушение	
230	zabaviti	VERB	9970	102	1	позабавить, развлечь, занять	
231	košulja	NOUN	9958	15	2	рубаха, рубашка	
232	gorivo	NOUN	9956	18	1	топливо	
233	javnost	NOUN	9824	15	0	общественность	
234	lanac	NOUN	9786	14	1	цепь	
235	površina	NOUN	9738	15	1	поверхность	
236	predavati	VERB	9713	102	4	вручать	
237	agencija	NOUN	9655	15	0	агентство	
238	interesantan	ADJ	9617	191	9	интересный; занимательный	
239	crnac	NOUN	9557	14	0	негр	drop_rare: устаревший и оскорбительный термин, не нужен начинающему
240	uređaj	NOUN	9512	15	0	приспособление, устройство	
241	ukloniti	VERB	9490	102	1	убрать, устранить; отстранить	
242	glumac	NOUN	9482	14	4	актёр	
243	cev	NOUN	9455	30	0	труба, трубка; ствол, дуло (оружия)	
244	peder	NOUN	9427	15	0	разг. педераст	
245	politički	ADV	9376	184	1	политический	drop_grammar: наречие, но толкование прилагательное
246	sladoled	NOUN	9363	15	2	кулин. мороженое	
247	putnik	NOUN	9336	15	3	путник	
248	naučnik	NOUN	9334	15	1	учёный	
249	kuvati	VERB	9284	102	6	варить, готовить (пищу)	
250	trgovina	NOUN	9182	15	0	торговля	
251	top	NOUN	8983	16	0	пушка	
252	ratnik	NOUN	8976	15	0	воин, боец, солдат	
253	polovina	NOUN	8975	15	0	половина	
254	porota	NOUN	8928	15	0	суд присяжных	
255	milijarda	NOUN	8915	16	1	миллиард	
256	dovoljan	ADJ	8901	191	12	достаточный	
257	glad	NOUN	8836	15	3	голод	
258	osmeh	NOUN	8834	42	0	улыбка	
259	mapa	NOUN	8811	15	2	карта (географическая)	
260	vežba	NOUN	8772	32	0	упражнение; тренировка	
261	suza	NOUN	8732	15	2	слеза	
262	okolnost	NOUN	8730	15	0	обстоятельство	
263	ispitivanje	NOUN	8700	15	0	опрос, допрос	
264	televizija	NOUN	8649	15	6	телевидение	
265	šampanjac	NOUN	8640	14	0	шампанское	
266	prijateljstvo	NOUN	8614	15	2	дружба	
267	pacov	NOUN	8613	15	1	крыса	
268	usna	NOUN	8551	18	1	анат. губа	
269	vid	NOUN	8460	31	7	зрение, видение; взгляд	
270	slavan	ADJ	8460	198	0	знаменитый; известный	
271	stvarnost	NOUN	8459	15	0	реальность, действительность	
272	kaput	NOUN	8360	15	0	пиджак; пальто	
273	zahvalnost	NOUN	8352	15	1	благодарность	
274	pobednik	NOUN	8318	30	0	победитель	
275	ispit	NOUN	8299	15	16	экзамен	
276	bezbednost	NOUN	8276	30	2	безопасность	
277	blok	NOUN	8237	14	0	квартал	
278	okretati	VERB	8211	102	5	поворачивать, вращать; обращать (внимание, взгляд)	
279	biljka	NOUN	8135	18	2	растение	
280	kupovina	NOUN	8129	15	1	покупка	
281	žut	ADJ	8079	191	3	жёлтый	
282	prostorija	NOUN	8000	15	0	помещение, комната	
283	baba	NOUN	7958	15	1	бабушка; пожилая женщина	
284	graditi	VERB	7888	102	1	строить	
285	lisica	NOUN	7887	14	0	лиса	
286	pošten	ADJ	7784	191	0	разг. порядочный, честный; достойный уважения	
287	obezbediti	VERB	7713	204	0	обеспечить; обезопасить	
288	šetnja	NOUN	7646	16	0	прогулка	
289	prethodan	ADJ	7570	73	0	предыдущий; предварительный	
290	jučer	ADV	7554	1	0	вчера	
291	stručnjak	NOUN	7522	15	0	специалист	
292	uvreda	NOUN	7475	15	0	оскорбление, обида; юр. оскорбление (как правонарушение)	
293	slovo	NOUN	7470	15	0	буква	
294	količina	NOUN	7394	15	1	количество	
295	uticaj	NOUN	7387	30	1	влияние	
296	prašina	NOUN	7385	15	1	пыль	
297	predavanje	NOUN	7312	15	0	лекция	
298	navesti	VERB	7263	191	0	привести; перечислить	
299	moderan	ADJ	7184	191	1	модный	
300	cesta	NOUN	7157	15	0	дорога; улица	
301	peći	VERB	7142	96	1	жарить	
302	siromašan	ADJ	7136	191	6	бедный, неимущий	
303	ponos	NOUN	7062	15	0	гордость	
304	gaće	NOUN	7054	7	0	трусы	
305	tuga	NOUN	6998	15	1	горе, печаль	
306	talac	NOUN	6955	26	0	заложник	
307	identitet	NOUN	6939	15	0	идентичность	
308	isplatiti	VERB	6912	102	1	заплатить	
309	mržnja	NOUN	6896	16	0	ненависть	
310	peti	ADJ	6829	63	3	пятый	
311	alarm	NOUN	6760	15	0	тревога	
312	okolina	NOUN	6760	15	1	окрестность, округа, окружающая местность; окружение, среда	
313	razmišljanje	NOUN	6755	15	0	критическое мышление	
314	časopis	NOUN	6732	15	2	газета; журнал; периодическое издание	
315	prijatan	ADJ	6712	191	2	приятный	
316	sudar	NOUN	6691	15	0	столкновение	
317	olovka	NOUN	6685	18	13	карандаш	trap: ошибка: olovka — ручка (от olovo — свинец), не карандаш
318	nula	NOUN	6679	15	1	ноль	
319	ogledalo	NOUN	6669	15	3	зеркало	
320	brojati	VERB	6629	105	11	считать, насчитывать	
321	pećina	NOUN	6597	15	0	спелеол. пещера	
322	mraz	NOUN	6586	24	3	мороз, холодная погода	
323	tržište	NOUN	6553	15	0	рынок	
324	suprotan	ADJ	6551	191	0	противоположный; противолежащий	
325	upotreba	NOUN	6540	15	0	применение, использование	
326	istočni	ADJ	6532	63	0	восточный	
327	prezime	NOUN	6529	15	2	фамилия	
328	zastava	NOUN	6461	15	1	флаг	
329	krvav	ADJ	6414	191	0	кровавый	
330	tlo	NOUN	6382	15	0	земля, почва	
331	bioskop	NOUN	6294	15	5	кинотеатр	
332	brisati	VERB	6293	102	0	стирать, вытирать	
333	ogrlica	NOUN	6284	14	0	бусы; ожерелье	
334	zec	NOUN	6215	14	4	заяц	
335	šaka	NOUN	6164	15	0	кисть руки; горсть, пригоршня	
336	patnja	NOUN	6147	16	0	страдание, мучение	
337	čarapa	NOUN	6044	15	0	чулок	
338	sedmica	NOUN	5986	14	4	неделя	
339	žurba	NOUN	5986	16	0	спешка	
340	popis	NOUN	5972	15	0	перечень, список	
341	obavljati	VERB	5953	102	0	выполнять, осуществлять; производить, делать	
342	studirati	VERB	5949	102	14	учиться, обучаться (в учебном заведении); учить, изучать	
343	ožiljak	NOUN	5936	15	0	шрам, рубец	
344	dadilja	NOUN	5887	15	0	няня	
345	nokat	NOUN	5861	18	3	анат. ноготь	
346	jastuk	NOUN	5846	15	1	подушка	
347	suština	NOUN	5817	15	0	сущность, суть	
348	frizura	NOUN	5771	15	0	причёска, стрижка	
349	baterija	NOUN	5703	15	3	батарея; фонарик	
350	garantovati	VERB	5691	109	0	гарантировать	
351	groblje	NOUN	5658	17	0	кладбище	
352	rasprava	NOUN	5616	15	0	обсуждение, дискуссия, прения	
353	lobanja	NOUN	5548	15	0	череп	
354	alat	NOUN	5543	15	0	инструменты	
355	razočarati	VERB	5537	102	0	разочаровать	
356	tetovaža	NOUN	5526	15	0	татуировка	
357	naočare	NOUN	5463	7	13	очки	
358	pamćenje	NOUN	5437	15	1	память (способность сохранять информацию)	
359	najzad	ADV	5427	1	0	наконец, в конце концов, напоследок	drop_grammar: наречие времени, служебное слово
360	crevo	NOUN	5377	30	0	анат. кишка	
361	čovečanstvo	NOUN	5347	30	0	человечество	
362	pritvor	NOUN	5247	15	0	предварительное заключение, арест	
363	vitez	NOUN	5246	18	0	рыцарь, всадник	
364	pravni	ADJ	5206	63	0	юридический	
365	kat	NOUN	5197	16	0	этаж	
366	ludost	NOUN	5192	15	0	безумие, сумасшествие	
367	balon	NOUN	5167	15	0	воздушный шар; аэростат	
368	kocka	NOUN	5159	17	0	геометр. куб	
369	silovanje	NOUN	5144	15	0	изнасилование	
370	kočija	NOUN	5138	15	0	коляска, повозка, дилижанс, фаэтон	
371	dupli	ADJ	5102	62	1	двойной, удвоенный	
372	udovica	NOUN	5092	14	2	вдова	
373	pozorište	NOUN	5060	15	3	театр	
374	godišnjica	NOUN	5031	15	0	годовщина	
375	kuvar	NOUN	5022	17	1	повар	
376	nestajati	VERB	5000	29	1	исчезать, пропадать	
377	otvaranje	NOUN	4910	15	0	открытие; раскрытие	
378	pojava	NOUN	4892	15	0	феномен, явление	
379	klavir	NOUN	4858	15	6	муз. фортепиано (фортепьяно)	
380	proleće	NOUN	4798	30	6	весна	
381	blagoslov	NOUN	4752	15	0	благословение	
382	tepih	NOUN	4750	14	2	ковёр	
383	šator	NOUN	4746	15	0	палатка	
384	živac	NOUN	4741	14	0	нерв	
385	imovina	NOUN	4700	15	0	имущество; собственность	
386	postojanje	NOUN	4681	15	0	существование, бытие	
387	prijateljski	ADV	4676	184	0	дружественный	drop_grammar: наречие образа действия, служебное слово
388	glavobolja	NOUN	4650	15	4	головная боль	
389	skupljati	VERB	4639	102	0	копить, собирать	
390	kretanje	NOUN	4635	15	0	движение	
391	vatrogasac	NOUN	4624	14	0	пожарный, пожарник	
392	kiseonik	NOUN	4579	15	1	хим. кислород	
393	beskoristan	ADJ	4570	73	0	бесполезный; напрасный, тщетный	
394	tabla	NOUN	4558	16	0	доска; плитка	
395	toranj	NOUN	4555	22	0	башня	
396	težiti	VERB	4546	29	2	весить, иметь вес	
397	besmislen	ADJ	4531	191	2	бессмысленный	
398	krompir	NOUN	4530	15	1	картофель	
399	tvrdoglav	ADJ	4525	191	0	упрямый	
400	zglob	NOUN	4503	16	0	анат. сустав	
401	englez	NOUN	4453	15	0	англичанин	
402	jeftino	ADV	4446	3	1	дёшево	
403	uzak	ADJ	4443	191	1	узкий	trap: uzak значит «далёкий», а не «узкий» (узкий — «узан»)
404	naređivati	VERB	4409	102	0	приказывать; распоряжаться	
405	italijanski	ADJ	4385	184	6	итальянский	
406	patka	NOUN	4373	17	0	зоол. утка	
407	srebrn	ADJ	4369	191	0	серебряный	
408	stanovnik	NOUN	4360	15	2	житель	
409	razumevanje	NOUN	4355	30	0	понимание, осмысление, разумение	
410	trenutan	ADJ	4338	191	2	мгновенный	
411	rečenica	NOUN	4336	15	17	предложение (грамматическое); фраза, выражение, высказывание	
412	finansijski	ADJ	4319	184	0	финансовый	
413	izlet	NOUN	4306	15	0	поход, экскурсия, прогулка	
414	gradac	NOUN	4303	26	0	ступень	
415	posed	NOUN	4295	30	0	собственность (земельная), имение; недвижимость	
416	magla	NOUN	4288	15	0	метеорол. туман	
417	podmornica	NOUN	4258	14	0	морск. подводная лодка, подлодка	
418	siv	ADJ	4221	191	1	серый, сивый; бесцветный, бледный	
419	čarobnjak	NOUN	4207	15	2	маг, волшебник, чародей	
420	jutarnji	ADJ	4201	60	0	утренний	
421	poverljiv	ADJ	4180	263	0	доверчивый	
422	ukusan	ADJ	4170	191	2	вкусный, лакомый	
423	val	NOUN	4151	23	0	волна	
424	bubreg	NOUN	4150	14	0	анат. почка	
425	obraz	NOUN	4148	16	0	анат. щека	
426	zagrljaj	NOUN	4122	15	0	объятие	
427	pobunjenik	NOUN	4121	15	0	бунтарь, бунтовщик	
428	autoput	NOUN	4028	33	0	автострада, скоростная дорога	
429	hlače	NOUN	3984	7	0	штаны	
430	poraz	NOUN	3959	16	0	поражение	
431	održavanje	NOUN	3932	15	0	поддержание	
432	konopac	NOUN	3889	14	0	верёвка	
433	nafta	NOUN	3883	15	1	нефть	
434	saradnja	NOUN	3877	16	0	сотрудничество	
435	septembar	NOUN	3874	15	0	сентябрь	
436	nameštaj	NOUN	3870	30	0	мебель	
437	kula	NOUN	3826	15	0	башня; шахм. ладья	
438	popravljati	VERB	3826	102	1	улучшать	
439	dragulj	NOUN	3821	15	0	драгоценный камень	
440	peškir	NOUN	3792	43	0	полотенце	
441	crta	NOUN	3788	15	0	линия	
442	temelj	NOUN	3748	17	0	фундамент	
443	muzički	ADJ	3744	184	0	музыкальный	
444	prag	NOUN	3720	35	1	порог	
445	belo	ADV	3716	29	11	белый; жарг. нарк., субстантивир. героин; кокаин (наркотик в виде белого порошка)	drop_grammar: belo — это прилагательное в среднем роде, служебным не является; но толкование про наркотики неверно и сбивает с толку
446	kopno	NOUN	3643	15	0	суша	
447	rukovati	VERB	3638	29	0	(~ се) здороваться за руку, пожимать руку (кому-л.); (~ се с) здороваться за руку (с кем-л.)	
448	kobasica	NOUN	3634	14	0	колбаса	
449	godišnji	ADJ	3632	60	2	ежегодный	
450	pile	NOUN	3617	14	0	птенец	
451	japanac	NOUN	3602	14	2	японец	
452	trg	NOUN	3590	21	0	площадь (городская); рынок	
453	narukvica	NOUN	3585	15	0	браслет	
454	čekić	NOUN	3578	44	1	молот, молоток	
455	orao	NOUN	3577	20	1	зоол. орёл (Aquila)	
456	trudnoća	NOUN	3573	15	0	физиол. беременность	
457	ambasador	NOUN	3555	15	0	посол	
458	dobrotvoran	ADJ	3545	191	0	благотворительный	
459	kanta	NOUN	3544	16	0	ведро	
460	koncentrisati	VERB	3520	29	0	сосредотачивать, сосредоточивать, концентрировать	
461	analizirati	VERB	3518	109	0	анализировать	
462	klasičan	ADJ	3513	191	2	классический	
463	mrtvačnica	NOUN	3497	14	0	морг, мертвецкая, покойницкая	
464	volan	NOUN	3484	15	0	руль, рулевое колесо	
465	preporuka	NOUN	3473	15	0	рекомендация	
466	uzalud	ADV	3453	1	0	напрасно, зря	
467	torbica	NOUN	3447	15	1	сумочка	
468	močvara	NOUN	3413	15	0	болото	
469	kornjača	NOUN	3400	15	2	черепаха	
470	ravan	ADJ	3392	191	0	плоский, ровный	
471	beo	ADJ	3345	191	16	белый	
472	vojvoda	NOUN	3329	14	0	князь	
473	ploviti	VERB	3311	29	1	плавать	
474	batina	NOUN	3307	15	0	палка	
475	gluv	ADJ	3298	191	2	глухой	
476	letelica	NOUN	3287	28	0	летательный аппарат, воздушное судно, самолёт	
477	udaljenost	NOUN	3273	15	0	расстояние	
478	ambasada	NOUN	3270	15	0	посольство	
479	otrovan	ADJ	3259	191	0	ядовитый	
480	predstavnik	NOUN	3255	15	0	представитель	
481	šarmantan	ADJ	3254	191	0	очаровательный	
482	magarac	NOUN	3235	14	2	зоол. осёл, ишак (Equus asinus asinus)	
483	automatski	ADV	3234	184	0	автоматический	
484	biološki	ADV	3218	64	1	биологический	
485	sklad	NOUN	3184	7	0	соответствие	
486	poremećaj	NOUN	3171	15	1	расстройство	
487	računar	NOUN	3167	16	13	компьютер	
488	tečnost	NOUN	3152	15	0	жидкость	
489	divljina	NOUN	3145	15	0	дикая местность	
490	naziv	NOUN	3140	15	2	название	
491	vanzemaljski	ADJ	3140	64	0	внеземной, инопланетный	
492	odsustvo	NOUN	3119	15	0	отсутствие	
493	naslediti	VERB	3087	204	0	наследовать	
494	parfem	NOUN	3085	15	0	духи	
495	otvor	NOUN	3059	15	0	отверстие	
496	tvrđava	NOUN	3050	15	2	крепость	
497	delić	NOUN	3034	59	0	частица, кусочек	
498	daljina	NOUN	3028	15	0	расстояние	
499	višak	NOUN	3023	21	0	избыток	
500	leptir	NOUN	3006	15	0	зоол. бабочка, мотылёк	
501	mrav	NOUN	2997	15	0	муравей	
502	sapun	NOUN	2982	15	2	мыло	
503	drven	ADJ	2948	191	0	деревянный	
504	kiselina	NOUN	2939	15	0	хим. кислота	
505	frekvencija	NOUN	2938	15	0	частота	
506	mačak	NOUN	2931	14	47	кот	
507	okvir	NOUN	2915	15	0	рамка; рамки	
508	radionica	NOUN	2914	15	0	мастерская	
509	izgradnja	NOUN	2894	16	1	строительство	
510	pesnik	NOUN	2861	30	0	поэт	
511	košarka	NOUN	2832	16	4	спорт. баскетбол	
512	maramica	NOUN	2825	15	0	носовой платок	
513	domaćica	NOUN	2823	15	0	домохозяйка	
514	rublje	NOUN	2821	8	0	белье	
515	insekt	NOUN	2817	14	0	зоол. насекомое	
516	domovina	NOUN	2784	15	2	родной край, родина, отечество, отчизна	
